Vote Number,Alexander (R-TN),Baldwin (D-WI),Barrasso (R-WY),Bennet (D-CO),Blackburn (R-TN),Blumenthal (D-CT),Blunt (R-MO),Booker (D-NJ),Boozman (R-AR),Braun (R-IN),Brown (D-OH),Burr (R-NC),Cantwell (D-WA),Capito (R-WV),Cardin (D-MD),Carper (D-DE),Casey (D-PA),Cassidy (R-LA),Collins (R-ME),Coons (D-DE),Cornyn (R-TX),Cortez Masto (D-NV),Cotton (R-AR),Cramer (R-ND),Crapo (R-ID),Cruz (R-TX),Daines (R-MT),Duckworth (D-IL),Durbin (D-IL),Enzi (R-WY),Ernst (R-IA),Feinstein (D-CA),Fischer (R-NE),Gardner (R-CO),Gillibrand (D-NY),Graham (R-SC),Grassley (R-IA),Harris (D-CA),Hassan (D-NH),Hawley (R-MO),Heinrich (D-NM),Hirono (D-HI),Hoeven (R-ND),Hyde-Smith (R-MS),Inhofe (R-OK),Isakson (R-GA),Johnson (R-WI),Jones (D-AL),Kaine (D-VA),Kennedy (R-LA),King (I-ME),Klobuchar (D-MN),Lankford (R-OK),Leahy (D-VT),Lee (R-UT),Manchin (D-WV),Markey (D-MA),McConnell (R-KY),McSally (R-AZ),Menendez (D-NJ),Merkley (D-OR),Moran (R-KS),Murkowski (R-AK),Murphy (D-CT),Murray (D-WA),Paul (R-KY),Perdue (R-GA),Peters (D-MI),Portman (R-OH),Reed (D-RI),Risch (R-ID),Roberts (R-KS),Romney (R-UT),Rosen (D-NV),Rounds (R-SD),Rubio (R-FL),Sanders (I-VT),Sasse (R-NE),Schatz (D-HI),Schumer (D-NY),Scott (R-FL),Scott (R-SC),Shaheen (D-NH),Shelby (R-AL),Sinema (D-AZ),Smith (D-MN),Stabenow (D-MI),Sullivan (R-AK),Tester (D-MT),Thune (R-SD),Tillis (R-NC),Toomey (R-PA),Udall (D-NM),Van Hollen (D-MD),Warner (D-VA),Warren (D-MA),Whitehouse (D-RI),Wicker (R-MS),Wyden (D-OR),Young (R-IN)
1,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
2,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,Not available,NAY,YEA,YEA,YEA,Not available,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,Not available,YEA,NAY,NAY,YEA,Not available,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
3,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,Not available,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,Not available,YEA,YEA,Not available,Not available,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,Not available,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,Not available,YEA,NAY,NAY,YEA,Not available,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
4,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,Not available,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA,NAY,NAY,YEA,NAY,NAY,NAY,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
5,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,Not available,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY
6,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,Not available,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY
7,Not available,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,Not available,NAY,YEA,NAY,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,Not available,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,Not available,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,NAY,Not available,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
8,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,Not available,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,Not available,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
9,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,NAY,Not available,YEA,NAY,YEA,NAY,Not available,YEA,YEA,Not available,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
10,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,Not available,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,YEA,Not available,NAY,YEA,NAY,YEA,Not available,NAY,YEA,Not available,NAY,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY
11,YEA,NAY,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,Not available,YEA,YEA,NAY,NAY,Not available,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,Not available,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,Not available,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA
12,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,Not available,YEA,NAY,YEA,Not available,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA
13,Not available,NAY,YEA,YEA,YEA,YEA,Not available,NAY,YEA,YEA,Not available,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,Not available,YEA,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,Not available,YEA,NAY,YEA,Not available,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,Not available,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA
14,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,Not available,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,Not available,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,Not available,NAY,YEA,NAY,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA
15,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,Not available,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,Not available,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,Not available,NAY,YEA,NAY,Not available,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA
16,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA
17,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
18,YEA,YEA,NAY,YEA,YEA,YEA,YEA,Not available,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY
19,YEA,YEA,NAY,YEA,YEA,YEA,YEA,Not available,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,NAY,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA
20,YEA,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,Not available,YEA,NAY,NAY,NAY,Not available,YEA,YEA,YEA,NAY,NAY,YEA,NAY,YEA,Not available,YEA,NAY,YEA,YEA,NAY,YEA,YEA,Not available,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,Not available,NAY,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,Not available,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,Not available,NAY,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA
21,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,Not available,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
22,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
23,YEA,NAY,YEA,NAY,YEA,NAY,YEA,Not available,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,NAY,NAY,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
24,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,Not available,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,NAY,NAY,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
25,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA
26,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA
27,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,NAY,YEA,Not available,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,Not available,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,Not available,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
28,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,Not available,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,NAY,YEA,Not available,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,Not available,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
29,YEA,NAY,YEA,NAY,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,NAY,YEA,NAY,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,NAY,NAY,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,NAY,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,Not available,NAY,NAY,YEA,NAY,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,NAY,YEA
30,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,Not available,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA
